Institucio,Campana,Ubicacion,Direccion,lon,lat
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER DEPARTAMENTAL,AMERICO VESPUCIO 6325,-70.590955,-33.511806
,ENVASE DE TETRA PAK,SUPERMERCADO JUMBO LA FLORIDA,VICUNA MACKENNA 6100,-70.61165,-33.508554
,VIDRIO,SUPERMERCADO JUMBO LA FLORIDA,VICUNA MACKENNA 6100,-70.61165,-33.508554
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER VICUNA MACKENNA,VICUNA MACKENNA 7196,-70.600414,-33.520788
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER DEPARTAMENTAL,AMERICO VESPUCIO 6325,-70.590941,-33.511793
,DIARIO Y PAPEL,SUPERMERCADO LIDER HIPER DEPARTAMENTAL,AMERICO VESPUCIO 6325,-70.590966,-33.511749
,VIDRIO,SUPERMERCADO SANTA ISABEL P-25,VICUNA MACKENNA PAR.25,-70.585703,-33.560124
,VIDRIO,SUPERMERCADO LIDER EXPRESS ROJAS MAGALLANES,SANCHEZ FONTECILLA / ROJAS MAGALLANES,-70.55429,-33.535605
,VIDRIO,SUPERMERCADO UNIMARC EXPRESS,SANTA ROSA 8002,-70.634739,-33.533038
,VIDRIO,MUNICIPALIDAD DE LA GRANJA,AMERICO VESPUCIO 2,-70.630782,-33.543103
,VIDRIO,PARQUE BRASIL,MANIO 6410,-70.615933,-33.516319
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL,SANTA ROSA 7668,-70.635528,-33.52823
,VIDRIO,SUPERMERCADO SANTA ISABEL,SANTA ROSA / ELIAS FERNANDEZ ALBANO,-70.635522,-33.528232
,VIDRIO,SUPERMERCADO ECONOMAX (P-20),SANTA ROSA PAR.20,-70.635445,-33.528865
,VIDRIO,SUPERMERCADO SANTA ISABEL,LOS PENSAMIENTOS 10260,-70.619398,-33.550912
,VIDRIO,SUPERMERCADO SANTA ISABEL,JOAQUIN EDWARDS BELLO 10670,-70.623628,-33.558102
,VIDRIO,SUPERMERCADO UNIMARC (P-23),SANTA ROSA 8002,-70.634737,-33.533039
,VIDRIO,VIA PUBLICA,EL PARQUE,-70.630943,-33.551053
,VIDRIO,POBLACION POETA NERUDA (ENTRE P-27 Y P-28),SANTA ROSA PAR. 27-28,-70.632556,-33.548382
,BOTELLA DE PLASTICO PET NUM 1,VILLA LA PINTANA,LOS PALTOS 2460,-70.639129,-33.617996
,BOTELLA DE PLASTICO PET NUM 1,DIRECCION DE GESTION AMBIENTAL MUNICIPAL,SANTA ROSA 13345,-70.629278,-33.587916
,BOTELLA DE PLASTICO PET NUM 1,MUNICIPALIDAD DE LA PINTANA,SANTA ROSA 12975,-70.629157,-33.585284
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LA PINTANA,SANTA ROSA 13015,-70.629192,-33.586243
,VIDRIO,SUPERMERCADO UNIMARC,PRINCIPE DE GALES / MATEO DE TORO Y ZAMBRANO,-70.556162,-33.439252
,VIDRIO,SUPERMERCADO SANTA ISABEL,LARRAIN / TOBALABA,-70.560795,-33.452564
,BOTELLA DE PLASTICO PET NUM 1,PLAZA LA REINA,ONOFRE JARPA / LEONARDO MURIALDO,-70.532566,-33.439766
,BOTELLA DE PLASTICO PET NUM 1,PLAZA LAS CAMPANAS,TOBALABA / LEONARDO DA VINCI,-70.553599,-33.459986
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER LA REINA,JORGE ALESSANDRI 1131,-70.547474,-33.462691
,BOTELLA DE PLASTICO PET NUM 1,VIA PUBLICA,PRINCIPE DE GALES / MATEO DE TORO Y ZAMBRANO,-70.556162,-33.439252
,BOTELLA DE PLASTICO PET NUM 1,VIA PUBLICA,LARRAIN 8600,-70.543533,-33.45106
,BOTELLA DE PLASTICO PET NUM 1,VIA PUBLICA,LARRAIN 9980,-70.528896,-33.452512
,DIARIO Y PAPEL,PARROQUIA SANTA RITA,LARRAIN 7376,-70.551532,-33.451154
,DIARIO Y PAPEL,PUNTO VERDE,NUEVA LARRAIN 8624,-70.542346,-33.450673
,DIARIO Y PAPEL,SUPERMERCADOS SANTA ISABEL LA REINA,LARRAIN 6677,-70.560808,-33.452552
,VIDRIO,SUPERMERCADO LIDER HIPER LA REINA,JORGE ALESSANDRI 1131,-70.547474,-33.462691
,VIDRIO,SUPERMERCADO SANTA ISABEL LA REINA,LARRAIN 6677,-70.560808,-33.452552
,BOTELLA DE PLASTICO PET NUM 1,PUNTO VERDE,PLAZA OSSANDON FRENTE A LA 16 COMISARIA,-70.544237,-33.441774
,DIARIO Y PAPEL,PARROQUIA SAN CARLOS BORRONEO,LA CAÑADA 7001,-70.559917,-33.441578
,DIARIO Y PAPEL,ACADEMIA DE GUERRA,VALENZUELA LLANOS 623,-70.536621,-33.444905
,BOTELLA DE PLASTICO PET NUM 1,PUNTO VERDE (PLAZA SANTIAGO BUERAS),ECHENIQUE / LORELEY,-70.565285,-33.444185
,DIARIO Y PAPEL,PUNTO VERDE (PLAZA SANTIAGO BUERAS),ECHENIQUE / LORELEY,-70.565285,-33.444185
,DIARIO Y PAPEL,PUNTO VERDE,PRINCIPE DE GALES 7271,-70.556663,-33.438925
,DIARIO Y PAPEL,PUNTO VERDE,PLAZA OSSANDON,-70.544237,-33.441774
,BOTELLA DE PLASTICO PET NUM 1,PUNTO VERDE,CARLOS OSSANDON / PRINCIPE DE GALES,-70.543237,-33.440489
,DIARIO Y PAPEL,PUNTO VERDE,CARLOS OSSANDON / PRINCIPE DE GALES,-70.543237,-33.440489
,VIDRIO,SUPERMERCADO LIDER HIPER LA REINA,JORGE ALESSANDRI 1131,-70.547476,-33.462674
,VIDRIO,SUPERMERCADO  SANTA ISABEL,MANQUEHUE / CERRO EL PLOMO,-70.570215,-33.404202
,VIDRIO,SUPERMERCADO LIDER EXPRESS,AMERICO VESPUCIO SUR 1790,-70.574741,-33.428518
,VIDRIO,SUPERMERCADO UNIMARC,MANQUEHUE SUR / LATADIA,-70.564013,-33.42645
,VIDRIO,SUPERMERCADO LIDER,TOMAS MORO / FLORENCIO BARRIOS,-70.553665,-33.423232
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL DE LO BARNECHEA,CAMINO LOS TRAPENSES 3515,-70.544561,-33.344193
,DIARIO Y PAPEL,SUPERMERCADO LIDER EXPRESS LA DEHESA,EL RODEO 12850,-70.520696,-33.353016
,DIARIO Y PAPEL,PASEO LOS TRAPENSES,CAMINO LOS TRAPENSES 3515,-70.544561,-33.344193
,DIARIO Y PAPEL,SUPERMERCADO JUMBO LA DEHESA,LA DEHESA 1445,-70.51711,-33.358848
,VIDRIO,BOMBEROS,ASTABURUAGA / CENTENARIO,-70.694423,-33.533831
,VIDRIO,CONSULTORIO,CENTRAL / AMERICO VESPUCIO,-70.698292,-33.523159
,VIDRIO,SUPERMERCADO UNIMARC JOSE MARIA CARO,BUENAVENTURA / CENTRAL CARDENAL SILVA HENRIQUEZ,-70.68956,-33.50717
,VIDRIO,SUPERMERCADO ECONOMAX,ECUADOR 5455,-70.71098,-33.457685
,VIDRIO,VIA PUBLICA,SAN PABLO / LAS TORRES,-70.730929,-33.444608
,VIDRIO,VIA PUBLICA,SAN PABLO / TENIENTE CRUZ,-70.740529,-33.444657
,VIDRIO,SUPERMERCADO PUERTO CRISTO,SAN PABLO 6702,-70.730929,-33.444591
,VIDRIO,VIA PUBLICA (FRENTE SEDE SOCIAL),LA COMUNA ALT. 5445,-70.710006,-33.447879
,VIDRIO,SUPERMERCADO PANOTECA,SAN PABLO 8315,-70.740602,-33.444589
,VIDRIO,CARNES ESCUDERO,MACUL 4115,-70.599867,-33.491626
,VIDRIO,FRENTE A PANIFICADORA,LAS CODORNICES / FROILAN ROA,-70.601165,-33.504366
,VIDRIO,PANADERIA QUILIN,EL LIBANO / QUILIN,-70.58983,-33.486275
,VIDRIO,PANIFICADORA,LOS PLATANOS / CASTILLO URIZAR,-70.609697,-33.482495
,VIDRIO,VIA PUBLICA,EL LIBANO / DOCTOR AMADOR NEGHME RODRIGUEZ,-70.592519,-33.499231
,VIDRIO,VIA PUBLICA,JORGE QUEVEDO / ALONSO LENG,-70.610443,-33.506164
,VIDRIO,VIA PUBLICA,NICOMEDES GUZMAN /JORGE QUEVEDO,-70.612148,-33.506441
,VIDRIO,VIA PUBLICA,SAN VICENTE DE PAUL / CAMPO LINDO,-70.58869,-33.496217
,VIDRIO,PARADERO DE BUSES,ESCUELA AGRICOLA / PEDRO DE VALDIVIA,-70.606352,-33.490553
,VIDRIO,VIA PUBLICA,LOS INDUSTRIALES / PEDRO DE VALDIVIA,-70.606283,-33.486727
,VIDRIO,BAR CASANOVA,QUILIN / MACUL,-70.599406,-33.485171
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER MACUL,MACUL 2127,-70.598833,-33.474133
,DIARIO Y PAPEL,SUPERMERCADO LIDER HIPER MACUL,MACUL 2127,-70.598833,-33.474133
,VIDRIO,SUPERMERCADO LIDER HIPER MACUL,MACUL 2127,-70.598833,-33.474133
,VIDRIO,VIA PUBLICA,LAS MADRESELVAS / RAMON CRUZ,-70.585323,-33.485345
,VIDRIO,VIA PUBLICA,VICENTE HUIDOBRO / LUIS VALENZUELA,-70.593869,-33.489885
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO JUMBO LA FLORIDA,VICUNA MACKENNA 6100,-70.611649,-33.508546
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER MACUL,MACUL 2127,-70.598821,-33.474093
,VIDRIO,SUPERMERCADO JUMBO,AMERICO VESPUCIO / EL DESCANSO,-70.760968,-33.469623
,VIDRIO,SUPERMERCADO LIDER,AMERICO VESPUCIO / EL DESCANSO,-70.760968,-33.469623
,VIDRIO,TEMPLO VOTIVO DE MAIPU,5 DE ABRIL / EL CARMEN,-70.763066,-33.510716
,VIDRIO,SUPERMERCADO UNIMARC (ESTACIONAMIENTOS),LOS PAJARITOS / PORTALES,-70.757309,-33.516181
,VIDRIO,SUPERMERCADO  LIDER,3 PONIENTE / ALCALDE ALBERTO KRUMM,-70.777864,-33.527278
,VIDRIO,SUPERMERCADO  EXONO,EL OLIMPO / GRECIA,-70.775425,-33.512891
,VIDRIO,SUPERMERCADO SANTA ISABEL,LOS PAJARITOS / LAS PARCELAS,-70.741548,-33.476871
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER AV CENTRAL,LOS PAJARITOS 2689,-70.757159,-33.503004
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER MAIPU,LOS PAJARITOS 4500,-70.744634,-33.480763
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO JUMBO MALL ARAUCO MAIPU,AMERICO VESPUCIO 399,-70.753132,-33.482719
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO JUMBO PAJARITOS,LOS PAJARITOS 3302,-70.757538,-33.496235
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO UNIMARC MAIPU,ALFREDO SILVA CARVALLO 1414,-70.774852,-33.531663
,DIARIO Y PAPEL,SUPERMERCADOS JUMBO PAJARITOS,LOS PAJARITOS 3302,-70.757538,-33.496235
,VIDRIO,VIA PUBLICA,5 DE ABRIL / LOS TILOS,-70.730433,-33.510079
,VIDRIO,MALL ARAUCO MAIPU,AMERICO VESPUCIO 399,-70.753132,-33.482719
,VIDRIO,SUPERMERCADO JUMBO MALL ARAUCO MAIPU,AMERICO VESPUCIO 399,-70.753132,-33.482719
,VIDRIO,SUPERMERCADO JUMBO PAJARITOS,LOS PAJARITOS 3302,-70.757538,-33.496235
,VIDRIO,SUPERMERCADO LIDER HIPER MAIPU,LOS PAJARITOS 4500,-70.744634,-33.480763
,VIDRIO,SUPERMERCADO LIDER HIPER AV CENTRAL,LOS PAJARITOS 2689,-70.757159,-33.503004
,VIDRIO,SUPERMERCADO LIDER TRES PONIENTE,3 PONIENTE 900,-70.77794,-33.51988
,VIDRIO,SUPERMERCADO MONTSERRAT DE MAIPU,ALFREDO SILVA CARVALLO 1401,-70.774798,-33.531496
,VIDRIO,SUPERMERCADO RIBEIRO LOCAL 2 NORTE,2 NORTE 1373,-70.740225,-33.500993
,VIDRIO,SUPERMERCADO SANTA ISABEL  (PLAZA MAIPU),5 DE ABRIL 216,-70.760071,-33.51074
,VIDRIO,SUPERMERCADO UNIMARC MAIPU II,ALFREDO SILVA CARVALLO 1414,-70.774852,-33.531663
,VIDRIO,VIA PUBLICA,LAS GOLONDRINAS / ALASKA,-70.738301,-33.490774
,VIDRIO,VIA PUBLICA,PRIMERA TRANSVERSAL / RAFAEL RIESCO,-70.751462,-33.496723
,VIDRIO,VIA PUBLICA,PRIMERA TRANSVERSAL / 1 SUR,-70.7527,-33.505483
,VIDRIO,VIA PUBLICA,SEGUNDA TRANSVERSAL / CENTRAL GONZALO PEREZ LLONA,-70.745241,-33.5009
,DIARIO Y PAPEL,PARROQUIA JESUS NAZARENO,MANUEL MONTT 797,-70.616618,-33.435287
,DIARIO Y PAPEL,PARROQUIA NUESTRA SEÑORA DIVINA PROVIDENCIA,PROVIDENCIA 1619,-70.615634,-33.426402
,DIARIO Y PAPEL,PARROQUIA SAGRADA FAMILIA,LOS MISIONEROS 2176,-70.615317,-33.416325
,DIARIO Y PAPEL,PARROQUIA SAN CRESCENTE,SALVADOR 1363,-70.623014,-33.445808
,DIARIO Y PAPEL,PARROQUIA SAN FRANCISCO DE SALES,SANTA ISABEL 1277,-70.614281,-33.446953
,DIARIO Y PAPEL,PARROQUIA SAN RAMON,LOS LEONES 123,-70.605599,-33.421061
,DIARIO Y PAPEL,PARROQUIA SANTA BERNARDITA,EL AGUILUCHO 3369,-70.596335,-33.442995
,DIARIO Y PAPEL,PARROQUIA SANTOS ANGELES CUSTODIOS,RODOLFO VERGARA 252,-70.630128,-33.436617
,DIARIO Y PAPEL,UNIDAD VECINAL PROVIDENCIA SECTOR 3,CARLOS ANTUNEZ 1835,-70.614279,-33.426743
,VIDRIO,VIA PUBLICA,ARZOBISPO FUENZALIDA MARTINEZ / DIEGO DE ALMAGRO,-70.598712,-33.441425
,VIDRIO,VIA PUBLICA,ANTONIO VARAS / FRANCISCO BILBAO,-70.613761,-33.439071
,VIDRIO,VIA PUBLICA,ARZOBISPO FUENZALIDA MARTINEZ / DOCTOR PEDRO LAUTARO FERRER,-70.598272,-33.444302
,VIDRIO,VIA PUBLICA,CLEMENTE FABRES / JULIO PRADO,-70.621941,-33.442959
,VIDRIO,VIA PUBLICA,LOS CONQUISTADORES / PADRE LETELIER,-70.613474,-33.417377
,VIDRIO,VIA PUBLICA,MANUEL MONTT / ARTURO CLARO,-70.615068,-33.441618
,VIDRIO,VIA PUBLICA,MONTE CARMELO / BELLAVISTA,-70.627958,-33.430647
,VIDRIO,VIA PUBLICA,RANCAGUA / ITALIA,-70.626874,-33.440267
,VIDRIO,SUPERMERCADO LA BANDERA AZUL,FRANCISCO BILBAO 2050,-70.606506,-33.438098
,VIDRIO,SUPERMERCADO LIDER EXPRESS PEDRO DE VALDIVIA,PEDRO DE VALDIVIA 1885,-70.607196,-33.440058
,VIDRIO,SUPERMERCADO LIDER EXPRESS PLAZA ITALIA,RANCAGUA 180,-70.630233,-33.440869
,VIDRIO,SUPERMERCADO LIDER EXPRESS TOBALABA,LAS CAMELIAS 2875,-70.598036,-33.422907
,VIDRIO,SUPERMERCADO SANTA ISABEL PROVIDENCIA,FRANCISCO BILBAO 2855,-70.591592,-33.435679
,VIDRIO,VIA PUBLICA,EL AGUILUCHO 3440,-70.5956,-33.442743
,VIDRIO,VIA PUBLICA,ELIODORO YANEZ 2946,-70.592295,-33.427097
,VIDRIO,VIA PUBLICA,CARLOS ANTUNES 1836,-70.61407,-33.426695
,VIDRIO,VIA PUBLICA,VICUNA MACKENNA / SANTA ISABEL,-70.632289,-33.447413
,VIDRIO,VIA PUBLICA,DARDINAC / PIO NONO,-70.635815,-33.433376
,VIDRIO,VIA PUBLICA,PIO NONO / SANTA FILOMENA,-70.63622,-33.43089
,ENVASE DE TETRA PAK,SUPERMERCADO BANDERA AZUL,FRANCISCO BILBAO 2050,-70.606506,-33.438098
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS PEDRO DE VALDIVIA,PEDRO DE VALDIVIA 1885,-70.607196,-33.440058
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS TOBALABA,LAS CAMELIAS 2875,-70.598036,-33.422907
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL PROVIDENCIA,FRANCISCO BILBAO 2855,-70.591592,-33.435679
,DIARIO Y PAPEL,HOSPITAL DEL TRABAJADOR,GENERAL MACKENNA 200,-70.633511,-33.443313
,VIDRIO,VIA PUBLICA,ANTONIA LOPEZ DE BELLO / PLAZA CAMILO MORI,-70.63531,-33.431912
,VIDRIO,HOTEL SHERATON,SANTA MARIA 1742,-70.620656,-33.422518
,VIDRIO,ACADEMIA R LAGOS,DOCTOR LUIS MIDDLETON 1666,-70.615272,-33.42723
,VIDRIO,VIA PUBLICA,GENERAL DEL CANTO ALT. 200,-70.617351,-33.43077
,DIARIO Y PAPEL,COMUNIDAD CONJUNTO EL SOL,QUINE 7364,-70.739717,-33.463678
,VIDRIO,JUNTA DE VECINOS,OCEANIA 553,-70.754713,-33.454334
,VIDRIO,VIA PUBLICA,CORONEL RAMON FREIRE / EL OLIMPO,-70.775494,-33.510164
,VIDRIO,VIA PUBLICA,EL OLIMPO / PORTALES,-70.775352,-33.518083
,VIDRIO,VIA PUBLICA,ALFREDO SILVA CARVALLO / MONTE PALOMAR,-70.771486,-33.52951
,VIDRIO,VIA PUBLICA,LA SINFONIA / LA REFORMA,-70.767786,-33.490045
,VIDRIO,VIA PUBLICA,EGIPTO / LAS INDUSTRIAS,-70.773379,-33.544437
,ENVASE DE TETRA PAK,SUPERMERCADO JUMBO MAIPU,AMERICO VESPUCIO 1001,-70.743154,-33.5
,ENVASE DE TETRA PAK,SUPERMERCADO JUMBO PAJARITOS,LOS PAJARITOS 3302,-70.757538,-33.496235
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER AV CENTRAL,LOS PAJARITOS 2689,-70.757159,-33.503004
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER MAIPU,LOS PAJARITOS 4500,-70.744634,-33.480763
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE MAIPU,ALFREDO SILVA CARVALLO 1401,-70.774798,-33.531496
,ENVASE DE TETRA PAK,SUPERMERCADO RIBEIRO LOCAL 2 NORTE,2 NORTE 1373,-70.740225,-33.500993
,ENVASE DE TETRA PAK,SUPERMERCADO UNIMARC MAIPU II,ALFREDO SILVA CARVALLO 1414,-70.774852,-33.531663
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER VESPUCIO MAIPU,AMERICO VESPUCIO 1955,-70.758339,-33.471896
,VIDRIO,VIA PUBLICA,NUEVA SAN MARTIN / SANTA ELENA,-70.762931,-33.525421
,VIDRIO,VIA PUBLICA,LA GALAXIA / NUEVA SAN MARTIN,-70.794365,-33.524873
,VIDRIO,VIA PUBLICA,EL ARROYO ALT. 1780,-70.78041,-33.564642
,VIDRIO,IGLESIA,CAMINO LA FARFANA / EL ROSAL,-70.774723,-33.489241
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS MAIPU,CORONEL RAMON FREIRE 1790,-70.774872,-33.510109
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL MAIPU,PARQUE CENTRAL PONIENTE 1040,-70.78665,-33.560365
,VIDRIO,SUPERMERCADO LIDER HIPER VESPUCIO MAIPU,AMERICO VESPUCIO 1955,-70.758339,-33.471896
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER VESPUCIO MAIPU,AMERICO VESPUCIO 1955,-70.758339,-33.471896
,VIDRIO,SUPERMERCADO LIDER HIPER AV CENTRAL,LOS PAJARITOS 2689,-70.757159,-33.503003
,VIDRIO,MERCADO MUNICIPAL DE MAIPU,5 DE ABRIL ALT. 80,-70.758121,-33.510782
,VIDRIO,SUPERMERCADO SANTA ISABEL,LOS PAJARITOS 4909,-70.741548,-33.476871
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL,LOS PAJARITOS 4909,-70.741548,-33.476871
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER EXPRESS MAIPU,CORONEL RAMON FREIRE 1790,-70.774872,-33.510109
,VIDRIO,SUPERMERCADO LIDER,GRECIA / SANTA EMMA,-70.62634,-33.455986
,VIDRIO,SUPERMERCADO LIDER EXPRESS PLAZA EGAÑA,IRARRAZAVAL 5353,-70.575523,-33.454069
,VIDRIO,SUPERMERCADO UNIMARC,IRARRAZAVAL 4600,-70.58203,-33.454584
,BOTELLA DE PLASTICO PET NUM 1,SUPEMERCADO LIDER EXPRESS GRECIA,GRECIA 245,-70.62634,-33.455986
,BOTELLA DE PLASTICO PET NUM 1,SUPEMERCADO LIDER HIPER IRARRAZAVAL,IRARRAZAVAL 2928,-70.600621,-33.454439
,BOTELLA DE PLASTICO PET NUM 1,SUPEMERCADO LIDER HIPER VESPUCIO SUR,AMERICO VESPUCIO SUR 881,-70.573697,-33.461567
,DIARIO Y PAPEL,COMUNIDAD AUGUSTO VILLANUEVA,AUGUSTO VILLANUEVA 235,-70.58803,-33.45324
,DIARIO Y PAPEL,PARROQUIA NUESTRA SEÑORA DE LA PAZ,ECHENIQUE 4243,-70.586548,-33.44649
,DIARIO Y PAPEL,PARROQUIA NUESTRA SEÑORA DE LUJAN,COLO COLO 829,-70.622775,-33.451935
,DIARIO Y PAPEL,PARROQUIA SANTA MARTA,CELERINO PEREIRA 1690,-70.576985,-33.438579
,DIARIO Y PAPEL,SUPERMERCADOS LIDER EXPRESS GRECIA,GRECIA 245,-70.62634,-33.455986
,DIARIO Y PAPEL,SUPERMERCADO LIDER EXPRESS PLAZA EGAÑA,IRARRAZAVAL 5353,-70.575526,-33.454068
,VIDRIO,SUPERMERCADO LIDER EXPRESS GRECIA,GRECIA 245,-70.62634,-33.455986
,VIDRIO,SUPERMERCADO LIDER EXPRESS PLAZA EGAÑA,IRARRAZAVAL 5353,-70.575526,-33.454068
,VIDRIO,SUPERMERCADO LIDER HIPER IRARRAZAVAL,IRARRAZAVAL 2928,-70.600621,-33.454439
,VIDRIO,SUPERMERCADO LIDER HIPER VESPUCIO SUR,AMERICO VESPUCIO SUR 881,-70.573697,-33.461567
,VIDRIO,SUPERMERCADO MONTSERRAT,IRARRAZAVAL 1510,-70.615328,-33.453168
,VIDRIO,SUPERMERCADO TORERO,GRECIA 4847,-70.580337,-33.46794
,VIDRIO,SUPERMERCADO UNIMARC,IRARRAZAVAL 4600,-70.582031,-33.454582
,VIDRIO,VIA PUBLICA,JOSE DOMINGO CANAS,-70.618142,-33.455809
,VIDRIO,VIA PUBLICA,LO ENCALADA / CARLOS DITTBORN,-70.622108,-33.466505
,VIDRIO,VIA PUBLICA,LOS JAZMINES / CALLE 8,-70.618283,-33.467148
,VIDRIO,VIA PUBLICA,EMILIA TELLEZ / BREMEN,-70.579022,-33.442322
,VIDRIO,VIA PUBLICA,PEDRO DE VALDIVIA / ZANARTU,-70.606468,-33.472061
,VIDRIO,VIA PUBLICA,CAPITAN IGNACIO CARRERA PINTO / SANTA JULIA,-70.590545,-33.471256
,VIDRIO,VIA PUBLICA,SIMON BOLIVAR / COVENTRY,-70.581399,-33.449112
,VIDRIO,VIA PUBLICA,LOS 3 ANTONIOS / GRECIA,-70.604115,-33.462842
,VIDRIO,,ELIECER PARADA / JORGE MATTE,-70.587031,-33.4392
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS GRECIA,GRECIA 245,-70.62634,-33.455986
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS PLAZA EGAÑA,IRARRAZAVAL 5353,-70.575526,-33.454068
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER IRARRAZAVAL,IRARRAZAVAL 2928,-70.600621,-33.454439
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER VESPUCIO SUR,AMERICO VESPUCIO SUR 881,-70.573697,-33.461567
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE ÑUÑOA,IRARRAZAVAL 1489,-70.615328,-33.453166
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL,JOSE PEDRO ALESSANDRI 1132,-70.59824,-33.464951
,DIARIO Y PAPEL,LABORATORIO CHILE,MARATHON 1315,-70.615105,-33.465398
,VIDRIO,VILLA LOS PRESIDENTES,QUILLAGUA 3858,-70.592473,-33.468023
,VIDRIO,SUPERMERCADO SANTA ISABEL,JOSE PEDRO ALESSANDRI 1132,-70.59824,-33.464951
,VIDRIO,SUPERMERCADO SANTA ISABEL,JOSE PEDRO ALESSANDRI 1132,-70.59824,-33.464951
,VIDRIO,RESTAURANT LA CARRETA,CAMINO MELIPILLA KM 21,-70.806467,-33.562241
,VIDRIO,PARRILLADAS ARGENTINAS,CAMINO A MELIPILLA,-70.817512,-33.57115
,VIDRIO,SUPERMERCADO MONTSERRAT (CENTRO PAINE),GENERAL BAQUEDANO,-70.74288,-33.813585
,VIDRIO,SUPERMERCADO FERNANDEZ,QUIAPO 3055,-70.675856,-33.480202
,VIDRIO,SUPERMERCADO SANTA ISABEL PEDRO AGUIRRE CERDA,ALCALDE CARLOS VALDOVINOS 2020,-70.663186,-33.478888
,VIDRIO,VIA PUBLICA,LA MARINA / SAN NICOLAS,-70.667307,-33.493741
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL PEDRO AGUIRRE CERDA,ALCALDE CARLOS VALDOVINOS 2020,-70.663186,-33.478888
,VIDRIO,VIA PUBLICA,CENTRAL NINO GARCIA / 3 SUR,-70.679179,-33.479925
,VIDRIO,EX PLAZA MALLOCO,MIRAFLORES 1577,-70.867353,-33.600022
,VIDRIO,FRENTE YPF,VICUNA MACKENNA / 21 DE MAYO,-70.902038,-33.611136
,VIDRIO,SUPERMERCADO LASCAR,21 DE MAYO 4827,-70.899674,-33.608172
,VIDRIO,SUPERMERCADO SAN FRANCISCO,ALCALDE LUIS ARAYA CERECEDA 1045,-70.898906,-33.606471
,VIDRIO,VIA PUBLICA,FRANCISCO BILBAO / 21 DE MAYO,-70.878167,-33.605971
,VIDRIO,FRENTE CONSULTORIO,VICUNA MACKENNA / LAS MAÑANAS,-70.868888,-33.610432
,ENVASE DE TETRA PAK,SUPERMERCADO SAN FRANCISCO,ALCALDE LUIS ARAYA CERECEDA 1045,-70.898906,-33.606471
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE PENAFLOR,BALMACEDA 503,-70.857996,-33.610234
,VIDRIO,SUPERMERCADO SANTA ISABEL PEÑALOLEN,TOBALABA 13949,-70.561286,-33.503492
,VIDRIO,SUPERMERCADO SANTA ISABEL PEÑALOLEN,GRECIA 5791,-70.574689,-33.469743
,DIARIO Y PAPEL,SUPERMERCADO LIDER HIPER QUILIN,AMERICO VESPUCIO 3100,-70.578901,-33.485136
,DIARIO Y PAPEL,EMPRESA DISAL SA,LAS TORRES 6108,-70.567737,-33.503842
,DIARIO Y PAPEL,EJERCITO DE CHILE,LAS PERDICES 700,-70.530173,-33.467784
,VIDRIO,VIA PUBLICA,GRECIA / FRONTERA,-70.571585,-33.470289
,VIDRIO,SUPERMERCADO SANTA ISABEL PEÑALOLEN,GRECIA 5791,-70.574692,-33.469742
