Institucio,Campana,Ubicacion,Direccion,lon,lat
,VIDRIO,UNIVERSIDAD ANDRES BELLO CASONA DE LAS CONDES,FERNANDEZ CONCHA 700,-70.505228,-33.374905
,VIDRIO,VIA PUBLICA,CHESTERTON 8520,-70.545082,-33.396621
,VIDRIO,VIA PUBLICA,CAMINO EL ALBA / APOQUINDO,-70.545072,-33.407887
,VIDRIO,RESTAURANT GIRATORIO,11 DE SEPTIEMBRE 2250,-70.603957,-33.417597
,VIDRIO,VIA PUBLICA,TOBALABA / POCURO,-70.586638,-33.430083
,ENVASE DE TETRA PAK,SUPERMERCADO JUMBO BILBAO,FRANCISCO BILBAO 4144,-70.57862,-33.431249
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS ESTORIL,LAS CONDES 10295,-70.534173,-33.384163
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS LATADIA,AMERICO VESPUCIO SUR 1790,-70.574741,-33.428518
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS TOMAS MORO,TOMAS MORO 1590,-70.552819,-33.414567
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER LOS DOMINICOS,CAMINO EL ALBA 11865,-70.515906,-33.401136
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE LAS CONDES,LAS CONDES 9350,-70.541363,-33.390363
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LAS CONDES,LAS CONDES 12207,-70.518864,-33.373462
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LAS CONDES,APOQUINDO 7200,-70.554416,-33.408141
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LAS CONDES,MANQUEHUE NORTE 457,-70.568897,-33.403881
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,ROTONDA ATENAS,-70.552917,-33.418188
,DIARIO Y PAPEL,PUNTO LIMPIO,ROTONDA ATENAS,-70.552917,-33.418188
,VIDRIO,PUNTO LIMPIO,ROTONDA ATENAS,-70.552917,-33.418188
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,PARQUE ARAUCANO,-70.574869,-33.402948
,DIARIO Y PAPEL,PUNTO LIMPIO,PARQUE ARAUCANO,-70.574869,-33.402948
,VIDRIO,PUNTO LIMPIO,PARQUE ARAUCANO,-70.574869,-33.402948
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,PARQUE LOS DOMINICOS,-70.544417,-33.408574
,DIARIO Y PAPEL,PUNTO LIMPIO,PARQUE LOS DOMINICOS,-70.544417,-33.408574
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO (PLAZA FILIPINAS),CANUMANQUI / ALONSO DE CAMARGO,-70.552499,-33.42239
,DIARIO Y PAPEL,PUNTO LIMPIO (PLAZA FILIPINAS),CANUMANQUI / ALONSO DE CAMARGO,-70.552499,-33.42239
